name,symbol,link
A.B.P. NOCIVELLI,ABP.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005439861.html?lang=it
A.S. ROMA,ASR.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001008876.html?lang=it
A2A,A2A.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001233417.html?lang=it
ABC COMPANY,ABC.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005466294.html?lang=it
ABITARE IN,ABT.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005445280.html?lang=it
ACEA,ACE.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001207098.html?lang=it
ACQUAZZURRA,ACQ.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005443061.html?lang=it
ACSM-AGAM,ACS.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001382024.html?lang=it
ADIDAS,ADS.MI,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/DE000A1EWWW0.html?lang=it
ADVANCED MICRO DEVICES,AMD.MI,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/US0079031078.html?lang=it
AEDES,AED.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005350449.html?lang=it
AEFFE,AEF.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001384590.html?lang=it
AEGON,AGN.MI,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/NL0000303709.html?lang=it
AEROPORTO GUGLIELMO MARCONI DI BOLOGNA,ADB.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001006128.html?lang=it
AGATOS,AGA.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005421919.html?lang=it
AGEAS,AGS.MI,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/BE0974264930.html?lang=it
AHOLD DEL,AD.AS,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/NL0011794037.html?lang=it
AIR FRANCE-KLM,AF.PA,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/FR0000031122.html?lang=it
AIR LIQUIDE,AI.PA,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/FR0000120073.html?lang=it
AIRBUS,AIR.PA,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/NL0000235190.html?lang=it
ALA,ALA.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005446700.html?lang=it
ALERION CLEANPOWER,ARN.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0004720733.html?lang=it
ALFIO BARDOLLA,ABTG.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005244030.html?lang=it
ALFONSINO,ALF.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005466039.html?lang=it
ALGOWATT,ALW.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0004359037.html?lang=it
ALKEMY,ALK.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005314635.html?lang=it
